#{"t_start": 1626800804.228393, "env_id": "fertilization-v0"}
r,l,t
-2300.658803,30,5.232328
-2406.708774,30,6.179968
-1988.716126,30,7.146783
-2004.035478,30,8.099261
-2481.494182,30,9.075676
-2633.597708,30,10.093495
-3018.343899,30,11.05534
-2658.800166,30,11.983391
-2013.01976,30,12.904262
-2192.006391,30,13.847158
-2150.289951,30,14.796438
-2298.44793,30,15.730462
-2257.876693,30,16.657942
-2344.023501,30,17.583618
-1542.927371,30,18.520305
-1824.929642,30,19.465582
-2997.652527,30,20.416452
-2424.035478,30,21.350089
-2315.84857,30,22.285568
-2233.837079,30,23.22298
-2392.504198,30,24.173253
-2740.755589,30,25.108198
-3065.323484,30,26.045278
-2585.553577,30,26.985765
-2630.319308,30,27.916414
-1991.000302,30,28.850192
-2226.719908,30,29.786195
-2109.867949,30,30.721835
-2722.470593,30,31.65489
-2099.439123,30,32.596794
-1992.613609,30,33.535445
-2040.432499,30,34.472708
-2657.384539,30,35.401804
-2205.006135,30,36.341786
-2895.111795,30,37.664249
-2053.16002,30,38.604911
-2273.690233,30,39.558478
-2495.323484,30,40.51744
-2752.50132,30,41.464803
-2507.985158,30,42.410253
-2342.938437,30,43.354997
-2281.080633,30,44.310512
-2621.179392,30,45.259006
-1914.919635,30,46.204519
-2517.052545,30,47.137456
-2028.105422,30,48.08547
-2722.50132,30,49.019279
-2116.210474,30,49.959866
-2560.262734,30,50.901712
-2225.07854,30,51.839855
-2299.887478,30,52.776384
-2633.759279,30,53.713093
-2848.900471,30,54.647617
-2791.691186,30,55.580009
-2303.584284,30,56.528609
-3464.84915,30,57.462723
-2500.051157,30,58.397271
-2501.793184,30,59.341517
-2488.217572,30,60.285989
-2209.345608,30,61.233519
-2328.800166,30,62.183809
-2619.085441,30,63.120516
-2260.051157,30,64.061766
-2127.775853,30,65.001721
-1643.759279,30,65.951961
-2763.121609,30,66.920356
-2370.432499,30,67.859346
-1945.641728,30,68.802479
-2014.997371,30,70.128057
-2273.759279,30,71.060318
-2327.695729,30,71.984391
-2902.470593,30,72.919878
-2941.536979,30,73.851322
-2413.16002,30,74.78864
-2727.124547,30,75.721112
-2454.146163,30,76.651039
-2067.775853,30,77.583331
-2279.219075,30,78.519796
-2652.296037,30,79.458374
-2172.40399,30,80.393847
-1572.480975,30,81.338667
-2469.930844,30,82.282271
-2735.84857,30,83.227508
-1824.573008,30,84.17266
-2678.433445,30,85.11049
-2417.85261,30,86.052518
-3002.938437,30,86.994951
-2902.50132,30,87.933036
-2577.124547,30,88.884259
-2319.867949,30,89.824426
-2225.07854,30,90.767426
-2225.156813,30,91.704958
-2697.052545,30,92.641049
-2255.07854,30,93.582878
-1858.264697,30,94.522579
-2792.938437,30,95.466286
-2483.597708,30,96.412238
-2257.278577,30,97.357843
-2349.930844,30,98.298671
-2189.87964,30,99.239012
-2495.553577,30,100.177469
-2055.111795,30,101.114188
-1886.291433,30,102.421116
-2813.597708,30,103.366157
-2101.401007,30,104.306704
-1979.439123,30,105.256739
-1854.035478,30,106.196775
