#{"t_start": 1626796892.4401753, "env_id": "fertilization-v0"}
r,l,t
-850.0,30,240.350492
-708.362926,30,241.292207
-683.469164,30,242.227283
-726.545244,30,243.170408
-797.052545,30,244.109401
-912.811425,30,245.040401
-673.16002,30,245.97687
-381.536979,30,246.91782
-507.391289,30,247.857328
-500.562533,30,248.794311
-920.0,30,249.729146
-627.648793,30,250.667099
-751.754684,30,251.602248
-704.5612,30,252.554084
-847.985158,30,253.495046
-667.804472,30,254.443259
-552.40399,30,255.394144
-331.920168,30,256.351961
-631.468469,30,257.287683
-647.460782,30,258.223494
-775.896322,30,259.161337
-366.860209,30,260.09914
-815.909862,30,261.033582
-761.623308,30,261.97408
-638.264697,30,262.911049
-525.700439,30,263.852108
-738.702807,30,264.785408
-527.278577,30,265.709167
-704.573008,30,266.636
-320.562533,30,267.574671
-796.998912,30,268.89435
-419.596892,30,269.825348
-947.460782,30,270.751763
-641.401007,30,271.678907
-600.410602,30,272.60086
-439.439123,30,273.522366
-774.293895,30,274.462547
-783.78546,30,275.399454
-608.239016,30,276.33879
-318.102334,30,277.275309
-471.920168,30,278.205962
-693.78546,30,279.139247
-540.289951,30,280.065419
-471.920168,30,280.990792
-659.251879,30,281.913621
-675.553577,30,282.839811
-466.860209,30,283.761628
-539.453861,30,284.690298
-582.064077,30,285.619548
-887.652527,30,286.544267
-492.504198,30,287.473403
-890.0,30,288.403989
-362.480975,30,289.334429
-752.452015,30,290.261027
-803.78546,30,291.182972
-910.0,30,292.109434
-512.551183,30,293.033176
-853.222989,30,293.958701
-519.930844,30,294.884953
-488.952963,30,295.809423
-414.440764,30,296.734737
-288.44793,30,297.658817
-451.920168,30,298.584761
-252.927371,30,299.512764
-631.471814,30,300.826836
-754.929458,30,301.754891
-1168.433445,30,302.683235
-550.572239,30,303.618154
-816.977954,30,304.541533
-567.110038,30,305.467636
-890.051157,30,306.391821
-311.000302,30,307.324831
-856.545244,30,308.248986
-366.860209,30,309.191881
-714.84915,30,310.12459
-902.567091,30,311.060234
-428.102334,30,311.985934
-648.162946,30,312.921406
-748.273176,30,313.860406
-667.184101,30,314.78672
-916.543956,30,315.710582
-820.0,30,316.64697
-538.102334,30,317.573517
-385.140855,30,318.501258
-790.0,30,319.469507
-834.146163,30,320.412376
-659.251879,30,321.345008
-753.469164,30,322.277252
-395.006135,30,323.205889
-653.469164,30,324.132812
-705.603918,30,325.06936
-232.927371,30,326.007157
-369.596892,30,326.937029
-290.545137,30,327.874489
-514.919635,30,328.804187
-761.401007,30,329.737545
-548.177313,30,330.673984
-187.384539,30,331.605267
